,entity_type,n_sentence,F1_Stanford,Neuro_n_epochs,Neuro_duration,Neuro_F1_on_train_set,Neuro_F1_on_valid_set
335,ArmorPlate102740764,447,0.5286,18,144,80.0,45.41
336,Sandwich107695965,447,0.47086,28,234,82.13,62.33
337,Pastry107622708,450,0.4563,26,194,85.35,58.95
338,Pie107625493,450,0.4563,35,261,88.3,58.18
339,Minesweeper103769100,450,0.80374,15,104,84.7,84.97
340,Pet101318894,450,0.26526,23,192,82.76,42.18
341,Crystallographer109981740,453,0.6552399999999999,28,249,96.39,79.09
342,AreaCode106354626,457,0.8243599999999999,23,193,88.65,82.35
343,Phobia114381416,457,0.65392,26,227,89.83,62.96
344,Justice104850117,459,0.57294,30,279,85.11,63.04
345,Fat114864360,459,0.49948000000000004,26,255,84.52,80.61
346,Righteousness104826235,459,0.57294,21,197,81.26,55.42
347,Terpene115068635,461,0.70468,52,471,96.64,70.0
348,DepartmentStore103176763,462,0.5667399999999999,21,193,84.67,85.42
349,Typhoon111521145,463,0.90996,13,96,88.31,89.83
350,Campsite108518171,464,0.6668399999999999,20,158,93.83,86.73
351,Warden110767154,465,0.6000400000000001,10,88,78.48,65.93
352,Primary100182571,466,0.6580999999999999,20,183,79.95,69.86
353,MarineEngineer110294421,469,0.6190399999999999,16,155,90.04,75.9
354,Lagomorph102323449,470,0.62838,18,168,85.43,79.6
355,Coat103057021,470,0.6599999999999999,21,157,89.05,81.63
356,Interest113286801,471,0.8614200000000001,29,270,92.89,93.83
357,Grant113266892,473,0.22571999999999998,25,264,81.12,37.91
358,Captain109893344,476,0.72578,61,572,97.92,67.3
359,ReconnaissanceVehicle104062807,477,0.5834999999999999,25,208,83.82,62.43
360,CollectiveFarm108056747,477,0.7311,31,194,90.29,80.33
361,Division108219330,479,0.91306,37,278,99.19,91.54
362,Acne114222112,480,0.5937600000000001,17,181,75.06,60.99
363,InflammatoryDisease114171682,480,0.5937600000000001,56,589,93.26,68.62
364,AcneRosacea114222352,480,0.5937600000000001,38,398,88.84,66.67
365,Triangle113879320,481,0.6061799999999999,14,128,83.68,55.38
366,Tiger110710632,481,0.31978,20,179,86.51,61.2
367,Share113285176,482,0.853,26,249,92.47,96.36
368,Chair103001627,482,0.6021000000000001,10,99,77.53,71.86
369,Saga106370522,483,0.81274,41,403,94.12,82.91
370,Bicycle102834778,488,0.34286,15,139,66.49,57.71
371,Succulent113084184,488,0.6708000000000001,23,191,84.82,74.89
372,InvestmentBanker110215953,490,0.61488,15,154,92.15,84.76
373,WordProcessor106572654,491,0.5791999999999999,19,179,81.41,68.18
374,Pause115271008,491,0.37611999999999995,19,187,74.08,54.24
375,GasolineEngine103424630,494,0.59578,17,171,76.24,58.24
376,Chord113874927,494,0.5489200000000001,16,184,70.51,50.16
377,StraightLine113869991,494,0.5489200000000001,36,405,83.49,57.35
378,Appetizer107581346,497,0.4085,23,207,83.95,51.35
379,CopperMine103104147,497,0.59196,32,297,89.81,61.45
380,Shoe104199027,498,0.55584,35,303,90.38,51.46
381,ElectromagneticUnit113602526,500,0.7497,30,281,88.47,64.26
382,Forum108309754,501,0.5644,50,508,92.87,76.19
383,Killing107361576,503,0.66386,33,362,86.76,64.84
384,Pterosaur101722998,505,0.7846,34,315,92.67,76.19
385,Signature107029088,505,0.45088,18,186,93.14,42.11
386,Regatta107468456,506,0.80102,35,335,92.96,68.62
387,Vicariate108100907,507,0.66892,40,382,87.84,70.85
388,Grenade103458271,509,0.51198,22,222,84.05,20.0
389,InfectiousDisease114127211,510,0.3108,13,128,76.54,20.24
390,EpidemicDisease114130166,510,0.3108,15,147,76.04,20.73
391,Plague114138691,510,0.3108,36,346,92.19,57.02
392,Sweater104370048,510,0.60312,35,334,85.24,62.84
393,Oil114966667,512,0.42432,25,268,86.49,47.0
394,Manual106421685,513,0.53142,21,227,78.99,59.41
395,Pyridine114692510,515,0.67752,51,446,91.94,71.91
396,Internee110212074,516,0.7630199999999999,59,541,99.49,84.03
397,SmartCard113377003,516,0.6142800000000002,18,180,75.72,56.49
398,Directory106423619,517,0.62892,16,142,84.87,99.51
399,Wealth113353280,517,0.46506000000000003,15,141,68.99,51.61
400,DoubleAgent110027476,517,0.4819,58,638,98.05,66.37
401,TankDestroyer104389718,517,0.6298199999999999,33,321,91.42,68.23
402,Pump104021798,518,0.53096,48,506,90.79,50.0
403,Shipwright110590764,520,0.6292399999999999,32,323,93.59,82.16
404,AnimalProduct114700745,521,0.3938,41,417,90.31,62.67
405,Fiber114866889,521,0.6332000000000001,26,266,90.62,60.0
406,MalevolentProgram106573020,523,0.69184,25,262,83.45,74.79
407,Virus106585816,523,0.69184,25,263,85.05,73.03
408,Host108183802,523,0.7912399999999999,24,277,90.47,71.21
409,Developer110010062,524,0.6174000000000001,20,217,90.19,71.07
410,Cytokine114828193,524,0.8473600000000001,30,359,91.77,68.45
411,AirUnit108195797,525,0.90078,36,313,97.45,93.16
412,ChamberOrchestra108248411,526,0.7326199999999999,30,370,92.5,68.66
413,Yeshiva108278032,526,0.6199600000000001,28,297,84.74,69.89
414,Directive107170080,529,0.39986,16,174,68.74,40.59
415,Drive104835724,529,0.73956,22,255,85.25,74.22
416,Pronouncement106727616,529,0.39986,11,121,63.75,43.69
417,Duty101129920,529,0.68294,28,246,89.29,70.9
418,Enterprise104836074,529,0.73956,19,221,83.17,74.07
419,Shrew110594147,530,0.8870000000000001,24,188,95.86,88.72
420,Promoter110482220,530,0.43836,27,288,89.46,65.52
421,Advertiser109773962,530,0.43836,29,310,91.77,64.96
422,Feather101896031,531,0.67876,9,97,74.24,93.81
423,Swamp109452395,531,0.5665,26,265,88.64,65.27
424,Fluid114939445,533,0.42513999999999996,51,540,92.18,55.41
425,ComputerArchitecture106725249,533,0.63758,32,303,85.41,72.44
426,UnpleasantWoman110739636,533,0.88444,28,222,96.94,90.91
427,Slum108651832,534,0.54264,27,289,90.06,73.45
428,FarmBuilding103322570,534,0.7597800000000001,34,317,92.12,80.32
429,Creation100908492,535,0.40324,22,234,84.89,66.29
430,Plaza108619795,536,0.7975800000000001,14,150,93.42,72.44
