,entity_type,N_fold0,N_fold1,N_fold2,N_fold3,N_fold4,N_avg,N_std
135,ClosedCurve113868248,0.6355,0.5253,0.6306,0.5345,0.7612000000000001,0.61742,0.08548111838295055
136,Supernova109451237,0.6476000000000001,0.5984,0.3958,0.5055,0.38380000000000003,0.50622,0.10551322950227618
137,Tetrapod102156732,0.8181999999999999,0.7541,0.7556,0.7644,0.3925,0.69696,0.154043378306242
138,Cabinetmaker109885866,0.8276,0.8412999999999999,0.6570999999999999,0.7797,0.6667000000000001,0.7544799999999999,0.0783689836606294
139,Vole102339376,0.95,0.8772,0.7406999999999999,0.8762000000000001,0.8037000000000001,0.84956,0.07143597413068574
140,WoodRat102338901,0.9420999999999999,0.8421,0.7547,0.86,0.7273000000000001,0.82524,0.07709333563934041
141,Suffragan110672540,0.8305,0.831,0.7646999999999999,0.72,0.6575,0.7607399999999999,0.06653848811026593
142,Dumpling107702193,0.5743,0.6486,0.48700000000000004,0.6559999999999999,0.6838,0.6099399999999999,0.0713524659699999
143,Hut103550153,0.7602,0.7853,0.6849,0.7541,0.7176,0.74042,0.035201784045698604
144,ChiefExecutiveOfficer109916348,0.5143,0.5825,0.2439,0.9216,1.0,0.6524599999999999,0.2771729611632419
145,Sonnet106381372,0.9952,0.9937,0.975,0.9963,0.9976999999999999,0.9915800000000001,0.008393187713854604
146,Booklet106413889,0.0,0.0,0.0,0.5102,0.5253,0.20709999999999998,0.253689605620727
147,SpreeKiller110581648,0.7302,0.7961,0.748,0.7759,0.6733,0.7447000000000001,0.04227173996892015
148,Sabotage101244895,0.6609999999999999,0.5051,0.7581,0.6735,0.7619,0.6719199999999999,0.09324596291529196
149,HydroxyAcid114613922,0.6281,0.466,0.5972,0.6154,0.5133,0.5640000000000001,0.06328901958475892
150,Convict109962966,0.7934,0.7928000000000001,0.9159999999999999,0.7218000000000001,0.816,0.808,0.06261411981334555
151,Dune109270735,0.5217,0.6018,0.7027,0.5041,0.5373,0.57352,0.07253077691573419
152,Protozoan101389507,0.5217,0.6225,0.6207,0.5,0.5926,0.5715,0.05110604660898748
153,Herbicide114906850,0.5861999999999999,0.7,0.6884999999999999,0.7792,0.5714,0.66506,0.07718713882506592
154,Lemma106751833,0.6207,0.8223999999999999,0.7451000000000001,0.7129000000000001,0.887,0.7576200000000001,0.0914760602562222
155,Cyst114202996,0.5926,0.7368000000000001,0.6796,0.7243999999999999,0.6667000000000001,0.6800200000000001,0.05101648361069195
156,Sponge101906749,0.6591,0.6061,0.7636,0.7468,0.4561,0.64634,0.11118943474988979
157,Figure103335600,0.433,0.3696,0.31579999999999997,0.4632,0.31329999999999997,0.37898,0.060670796929000376
158,Model103777283,0.4524,0.4,0.38,0.5,0.321,0.41068000000000005,0.06134565673297499
159,Lemur102496913,0.8759,0.902,0.8332999999999999,0.9486,0.9102,0.8939999999999999,0.03826146886882418
160,Prospector110485298,0.7826000000000001,0.8092,0.7597,0.9077,0.7692,0.80568,0.0536621058103388
161,Dress103236735,0.62,0.4,0.5283,0.6364,0.43079999999999996,0.5231,0.09583990818025652
162,SoundFilm104261868,0.7898999999999999,0.7928000000000001,0.8448,0.8332999999999999,0.8571,0.8235800000000001,0.027386522232660346
163,Session107145508,0.8295999999999999,0.8649,0.7809999999999999,0.7576,0.7406999999999999,0.7947599999999999,0.04610017787384339
164,CreditUnion108234628,0.6765000000000001,0.6833,0.6917,0.6933,0.6555,0.6800599999999999,0.013690522269073602
165,Decade115204983,0.7021999999999999,0.7232,0.8534999999999999,0.763,0.7692,0.7622199999999999,0.05197370104196929
166,Neurosurgeon110354754,0.7458,0.7812,0.6984,0.7287,0.7731,0.74544,0.030122987899609155
167,Builder115097209,0.75,0.562,0.5128,0.6119,0.5789,0.60312,0.08010741289044353
168,Swine102395003,0.3871,0.5743,0.22469999999999998,0.6119,0.6,0.4796,0.1513260056963112
169,Hog102395406,0.35479999999999995,0.5760000000000001,0.2198,0.5753,0.5217,0.44952000000000003,0.14054956990329073
170,Reservoir113776854,0.5857,0.5763,0.6667000000000001,0.6942,0.5045000000000001,0.60548,0.06790995214252474
171,Blacksmith109859152,0.7,0.45899999999999996,0.3736,0.5085000000000001,0.49479999999999996,0.50718,0.10723757550411142
172,Pyramid113914837,0.5312,0.7406999999999999,0.6617000000000001,0.6452,0.5191,0.61958,0.0836753105760594
173,Cooperation101202904,0.7323999999999999,0.7273000000000001,0.7384999999999999,0.75,0.5455,0.69874,0.07699300227942796
174,Decree106539770,0.3333,0.7243999999999999,0.626,0.6609999999999999,0.5965,0.5882400000000001,0.13440387792024452
175,Collaboration101205156,0.6377,0.72,0.6977,0.623,0.6129,0.65826,0.042640009380861994
176,Bookshop102871525,0.2874,0.6525,0.6522,0.33899999999999997,0.2703,0.4402799999999999,0.17462562698527384
177,Antineoplastic102722458,0.6294,0.5196999999999999,0.4754,0.5594,0.6957,0.57592,0.07841585043854335
178,Conclusion106398401,0.6623,0.6536,0.5634,0.6614,0.6557,0.6392800000000001,0.03808324566000118
179,Finale107039478,0.6308,0.6207,0.5484,0.6917,0.5913,0.61658,0.04722242687537352
180,Rugby100470966,0.7585999999999999,0.7521,0.8,0.6341,0.7978000000000001,0.74852,0.06047324697748585
181,Miniaturist110320106,0.8661,0.7521,0.8741,0.8092,0.7454999999999999,0.8093999999999999,0.054346149817627386
182,ArmoredDinosaur101701551,0.787,0.7539,0.7907,0.7865000000000001,0.703,0.76422,0.03337935889138678
183,MilitaryMarch107058468,0.6437999999999999,0.6667000000000001,0.8181999999999999,0.6542,0.4878,0.6541399999999999,0.10473714909238266
184,Internist110212231,0.6299,0.7243999999999999,0.7768999999999999,0.708,0.7463,0.7171,0.04933278828527734
185,Drawbridge103233744,0.7273000000000001,0.7536,0.5752,0.8489,0.7532,0.7316400000000001,0.0885316802054496
186,Season115236475,0.4733,0.49229999999999996,0.6713,0.3333,0.4648,0.487,0.10798036858614626
187,Pier103933529,0.6667000000000001,0.4946,0.7465,0.7132999999999999,0.7681,0.67784,0.09779516552468225
188,ChamberOfCommerce108319061,0.8943000000000001,0.7968999999999999,0.6949,0.6565000000000001,0.4717,0.70286,0.14222542107513692
189,Transvestite110726031,0.5846,0.6970000000000001,0.58,0.7287,0.6620999999999999,0.65048,0.059540083977099006
190,OilTanker103845190,0.7059000000000001,0.6496,0.4815,0.36090000000000005,0.5468999999999999,0.54896,0.122213118772086
191,Silversmith110598749,0.5938,0.6443000000000001,0.5690999999999999,0.7006999999999999,0.7075,0.6430800000000001,0.055449162302058264
192,Slab104233405,0.5132,0.6496,0.6617000000000001,0.6512,0.6612,0.6273799999999999,0.057305929885134936
